year,player,finish,total_score,prize_money,points,round,score,rows_per_year,winner_ind,prize_money_small
2020,Phil Mickelson,T55,291,26680,6.69,r1_score,69,4,0,6670
2020,Phil Mickelson,T55,291,26680,6.69,r2_score,70,4,0,6670
2020,Phil Mickelson,T55,291,26680,6.69,r3_score,79,4,0,6670
2020,Phil Mickelson,T55,291,26680,6.69,r4_score,73,4,0,6670
2020,Zach Johnson,T51,290,28003,8.22,r1_score,73,4,0,7000.75
2020,Mike Weir,T51,290,28003,8.22,r1_score,71,4,0,7000.75
2020,Zach Johnson,T51,290,28003,8.22,r2_score,71,4,0,7000.75
2020,Mike Weir,T51,290,28003,8.22,r2_score,72,4,0,7000.75
2020,Zach Johnson,T51,290,28003,8.22,r3_score,73,4,0,7000.75
2020,Mike Weir,T51,290,28003,8.22,r3_score,71,4,0,7000.75
2020,Zach Johnson,T51,290,28003,8.22,r4_score,73,4,0,7000.75
2020,Mike Weir,T51,290,28003,8.22,r4_score,76,4,0,7000.75
2020,Jordan Spieth,T46,289,33672,10.77,r1_score,74,4,0,8418
2020,Jordan Spieth,T46,289,33672,10.77,r2_score,70,4,0,8418
2020,Jordan Spieth,T46,289,33672,10.77,r3_score,73,4,0,8418
2020,Jordan Spieth,T46,289,33672,10.77,r4_score,72,4,0,8418
2020,Tiger Woods,T38,287,50600,17.57,r1_score,68,4,0,12650
2020,Tiger Woods,T38,287,50600,17.57,r2_score,71,4,0,12650
2020,Tiger Woods,T38,287,50600,17.57,r3_score,72,4,0,12650
2020,Tiger Woods,T38,287,50600,17.57,r4_score,76,4,0,12650
2020,Adam Scott,T34,286,62100,23.23,r1_score,70,4,0,15525
2020,Adam Scott,T34,286,62100,23.23,r2_score,72,4,0,15525
2020,Adam Scott,T34,286,62100,23.23,r3_score,71,4,0,15525
2020,Adam Scott,T34,286,62100,23.23,r4_score,73,4,0,15525
2020,Charl Schwartzel,T25,284,91713,37.68,r1_score,73,4,0,22928.25
2020,Danny Willett,T25,284,91713,37.68,r1_score,71,4,0,22928.25
2020,Charl Schwartzel,T25,284,91713,37.68,r2_score,71,4,0,22928.25
2020,Danny Willett,T25,284,91713,37.68,r2_score,66,4,0,22928.25
2020,Charl Schwartzel,T25,284,91713,37.68,r3_score,69,4,0,22928.25
2020,Danny Willett,T25,284,91713,37.68,r3_score,74,4,0,22928.25
2020,Charl Schwartzel,T25,284,91713,37.68,r4_score,71,4,0,22928.25
2020,Danny Willett,T25,284,91713,37.68,r4_score,73,4,0,22928.25
2020,Patrick Reed,T10,279,287500,77,r1_score,68,4,0,71875
2020,Patrick Reed,T10,279,287500,77,r2_score,68,4,0,71875
2020,Patrick Reed,T10,279,287500,77,r3_score,71,4,0,71875
2020,Patrick Reed,T10,279,287500,77,r4_score,72,4,0,71875
2020,Bubba Watson,57,292,26450,6.35,r1_score,74,4,0,6612.5
2020,Bubba Watson,57,292,26450,6.35,r2_score,69,4,0,6612.5
2020,Bubba Watson,57,292,26450,6.35,r3_score,71,4,0,6612.5
2020,Bubba Watson,57,292,26450,6.35,r4_score,78,4,0,6612.5
2020,Dustin Johnson,1,268,2070000,600,r1_score,65,4,1,517500
2020,Dustin Johnson,1,268,2070000,600,r2_score,70,4,1,517500
2020,Dustin Johnson,1,268,2070000,600,r3_score,65,4,1,517500
2020,Dustin Johnson,1,268,2070000,600,r4_score,68,4,1,517500
2019,Zach Johnson,T58,293,26335,5.89,r1_score,74,4,0,6583.75
2019,Zach Johnson,T58,293,26335,5.89,r2_score,73,4,0,6583.75
2019,Zach Johnson,T58,293,26335,5.89,r3_score,73,4,0,6583.75
2019,Zach Johnson,T58,293,26335,5.89,r4_score,73,4,0,6583.75
2019,Trevor Immelman,T51,290,28693,8.22,r1_score,74,4,0,7173.25
2019,Trevor Immelman,T51,290,28693,8.22,r2_score,72,4,0,7173.25
2019,Trevor Immelman,T51,290,28693,8.22,r3_score,75,4,0,7173.25
2019,Trevor Immelman,T51,290,28693,8.22,r4_score,69,4,0,7173.25
2019,Patrick Reed,T36,286,55488,19.27,r1_score,73,4,0,13872
2019,Patrick Reed,T36,286,55488,19.27,r2_score,70,4,0,13872
2019,Patrick Reed,T36,286,55488,19.27,r3_score,74,4,0,13872
2019,Patrick Reed,T36,286,55488,19.27,r4_score,69,4,0,13872
2019,Jordan Spieth,T21,283,107956,41.51,r1_score,75,4,0,26989
2019,Jordan Spieth,T21,283,107956,41.51,r2_score,68,4,0,26989
2019,Jordan Spieth,T21,283,107956,41.51,r3_score,69,4,0,26989
2019,Jordan Spieth,T21,283,107956,41.51,r4_score,71,4,0,26989
2019,Dustin Johnson,T2,276,858667,230,r1_score,68,4,0,214666.75
2019,Dustin Johnson,T2,276,858667,230,r2_score,70,4,0,214666.75
2019,Dustin Johnson,T2,276,858667,230,r3_score,70,4,0,214666.75
2019,Dustin Johnson,T2,276,858667,230,r4_score,68,4,0,214666.75
2019,Phil Mickelson,T18,282,161000,53,r1_score,67,4,0,40250
2019,Adam Scott,T18,282,161000,53,r1_score,69,4,0,40250
2019,Phil Mickelson,T18,282,161000,53,r2_score,73,4,0,40250
2019,Adam Scott,T18,282,161000,53,r2_score,68,4,0,40250
2019,Phil Mickelson,T18,282,161000,53,r3_score,70,4,0,40250
2019,Adam Scott,T18,282,161000,53,r3_score,72,4,0,40250
