year,player,finish,r1_score,r2_score,r3_score,r4_score,total_score,prize_money,points
2020,Dustin Johnson,1,65,70,65,68,268,"$2,070,000 ",600
2020,Sungjae Im,T2,66,70,68,69,273,"$1,012,000 ",270
2020,Cameron Smith,T2,67,68,69,69,273,"$1,012,000 ",270
2020,Justin Thomas,4,66,69,71,70,276,"$552,000 ",150
2020,Dylan Frittelli,T5,65,73,67,72,277,"$437,000 ",115
2020,Rory McIlroy,T5,75,66,67,69,277,"$437,000 ",115
2020,Brooks Koepka,T7,70,69,69,70,278,"$358,417 ",94
2020,Cheng Tsung Pan,T7,70,66,74,68,278,"$358,417 ",94
2020,Jon Rahm,T7,69,66,72,71,278,"$358,417 ",94
2020,Corey Conners,T10,74,65,71,69,279,"$287,500 ",77
2020,Patrick Reed,T10,68,68,71,72,279,"$287,500 ",77
2020,Webb Simpson,T10,67,73,71,68,279,"$287,500 ",77
2020,Abraham Ancer,T13,68,67,69,76,280,"$215,625 ",63
2020,Marc Leishman,T13,70,72,70,68,280,"$215,625 ",63
2020,Hideki Matsuyama,T13,68,68,72,72,280,"$215,625 ",63
2020,Kevin Na,T13,73,68,69,70,280,"$215,625 ",63
2020,Patrick Cantlay,T17,70,66,73,72,281,"$178,250 ",56
2020,Xander Schauffele,T17,67,73,71,70,281,"$178,250 ",56
2020,Cameron Champ,T19,68,74,68,72,282,"$144,325 ",49.8
2020,Tommy Fleetwood,T19,71,66,71,74,282,"$144,325 ",49.8
2020,Sebastián Muñoz,T19,70,68,69,75,282,"$144,325 ",49.8
2020,Scottie Scheffler,T19,71,68,72,71,282,"$144,325 ",49.8
2020,Louis Oosthuizen,T23,68,70,75,70,283,"$115,000 ",43.07
2020,Justin Rose,T23,67,70,76,70,283,"$115,000 ",43.07
2020,Shane Lowry,T25,74,69,68,73,284,"$91,713 ",37.68
2020,Ian Poulter,T25,72,71,71,70,284,"$91,713 ",37.68
2020,Charl Schwartzel,T25,73,71,69,71,284,"$91,713 ",37.68
2020,Danny Willett,T25,71,66,74,73,284,"$91,713 ",37.68
2020,Rickie Fowler,T29,70,70,75,70,285,"$74,750 ",30.03
2020,Sung Kang,T29,75,69,71,70,285,"$74,750 ",30.03
2020,Bernhard Langer,T29,68,73,73,71,285,"$74,750 ",30.03
2020,Chez Reavie,T29,71,72,72,70,285,"$74,750 ",30.03
2020,Nick Taylor,T29,72,72,69,72,285,"$74,750 ",30.03
2020,Bryson DeChambeau,T34,70,74,69,73,286,"$62,100 ",23.23
2020,Si Woo Kim,T34,70,71,73,72,286,"$62,100 ",23.23
2020,Adam Scott,T34,70,72,71,73,286,"$62,100 ",23.23
2020,Andy Ogletree,T34,73,70,71,72,286,,0
2020,Christiaan Bezuidenhout,T38,69,73,74,71,287,"$50,600 ",0
2020,Paul Casey,T38,65,74,71,77,287,"$50,600 ",17.57
2020,Tony Finau,T38,69,75,71,72,287,"$50,600 ",17.57
2020,Billy Horschel,T38,70,70,72,75,287,"$50,600 ",17.57
2020,Lee Westwood,T38,68,74,71,74,287,"$50,600 ",17.57
2020,Tiger Woods,T38,68,71,72,76,287,"$50,600 ",17.57
2020,Shugo Imahira,T44,72,70,72,74,288,"$41,400 ",0
2020,Collin Morikawa,T44,70,74,70,74,288,"$41,400 ",13.03
2020,Matthew Fitzpatrick,T46,74,70,73,72,289,"$33,672 ",10.77
2020,Charles Howell III,T46,71,70,74,74,289,"$33,672 ",10.77
2020,Victor Perez,T46,70,71,76,72,289,"$33,672 ",0
2020,Jordan Spieth,T46,74,70,73,72,289,"$33,672 ",10.77
2020,Matt Wallace,T46,69,73,70,77,289,"$33,672 ",10.77
2020,Rafa Cabrera Bello,T51,73,71,74,72,290,"$28,003 ",8.22
2020,Jazz Janewattananond,T51,69,71,75,75,290,"$28,003 ",0
2020,Zach Johnson,T51,73,71,73,73,290,"$28,003 ",8.22
2020,Mike Weir,T51,71,72,71,76,290,"$28,003 ",8.22
2020,Phil Mickelson,T55,69,70,79,73,291,"$26,680 ",6.69
2020,John Augenstein,T55,69,72,75,75,291,,0
2020,Bubba Watson,57,74,69,71,78,292,"$26,450 ",6.35
2020,Bernd Wiesberger,58,71,72,78,73,294,"$26,220 ",0
2020,Brandt Snedeker,59,71,71,79,74,295,"$25,990 ",5.89
2020,Jimmy Walker,60,71,73,76,76,296,"$25,760 ",5.67
2020,Byeong Hun An,CUT,72,73,--,--,145,,0
2020,Adam Hadwin,CUT,74,71,--,--,145,,0
2020,Max Homa,CUT,70,75,--,--,145,,0
2020,Matt Kuchar,CUT,70,75,--,--,145,,0
2020,Graeme McDowell,CUT,72,73,--,--,145,,0
2020,Andrew Putnam,CUT,73,72,--,--,145,,0
2020,Henrik Stenson,CUT,71,74,--,--,145,,0
